"set","run","cmp_code","cmp_id","label","om_code","source_om","stock","draws","first_year","last_year","statistics","source_file"
"robustness","tun32_om11_3","tun32","MP32","PR+20","om11_3","h1_0.16_cycle","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om12","tun32","MP32","PR+20","om12","h1_0.16h","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om13","tun32","MP32","PR+20","om13","h1_1.14","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om21","tun32","MP32","PR+20","om21","h2_0.16","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om21","tun32","MP32","PR+20","om21","h2_0.16","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om21_1","tun32","MP32","PR+20","om21_1","h2_0.16_mov","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om21_1","tun32","MP32","PR+20","om21_1","h2_0.16_mov","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om22","tun32","MP32","PR+20","om22","h2_0.16h","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om22","tun32","MP32","PR+20","om22","h2_0.16h","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om23","tun32","MP32","PR+20","om23","h2_1.14","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun32_om23","tun32","MP32","PR+20","om23","h2_1.14","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"reference","tun44","tun44","MP44","PR-20","om11","h1_0.16","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/reference/performance_with_vb.rds"
