selection_order,iter,mp,cmp,year,catch
2,100,tun44,PR-20 (MP44),2050,1694.00907317009
3,122,tun44,PR-20 (MP44),2026,1107.99999999768
3,122,tun44,PR-20 (MP44),2027,886.399999548375
3,122,tun44,PR-20 (MP44),2028,709.119993898091
3,122,tun44,PR-20 (MP44),2029,815.487989645805
3,122,tun44,PR-20 (MP44),2030,937.811169864096
3,122,tun44,PR-20 (MP44),2031,1078.48288
3,122,tun44,PR-20 (MP44),2032,1231.66066100745
3,122,tun44,PR-20 (MP44),2033,1176.88749142252
3,122,tun44,PR-20 (MP44),2034,1353.42061481046
3,122,tun44,PR-20 (MP44),2035,1556.43370740628
3,122,tun44,PR-20 (MP44),2036,1693.0063004596
3,122,tun44,PR-20 (MP44),2037,1354.40503964289
3,122,tun44,PR-20 (MP44),2038,1083.52403288415
3,122,tun44,PR-20 (MP44),2039,866.819226306542
3,122,tun44,PR-20 (MP44),2040,887.235062843239
3,122,tun44,PR-20 (MP44),2041,1020.32032232091
3,122,tun44,PR-20 (MP44),2042,1173.36836568478
3,122,tun44,PR-20 (MP44),2043,1349.37362563423
3,122,tun44,PR-20 (MP44),2044,1551.77966754937
3,122,tun44,PR-20 (MP44),2045,1656.9462711621
3,122,tun44,PR-20 (MP44),2046,1671.17986671401
3,122,tun44,PR-20 (MP44),2047,1659.18517024776
3,122,tun44,PR-20 (MP44),2048,1327.34813744467
3,122,tun44,PR-20 (MP44),2049,1061.87850834056
3,122,tun44,PR-20 (MP44),2050,994.824605963261
1,130,tun44,PR-20 (MP44),2026,1107.99999999374
1,130,tun44,PR-20 (MP44),2027,886.399998046955
1,130,tun44,PR-20 (MP44),2028,709.119987519408
1,130,tun44,PR-20 (MP44),2029,574.467310445596
1,130,tun44,PR-20 (MP44),2030,660.63740676138
1,130,tun44,PR-20 (MP44),2031,759.733017674654
1,130,tun44,PR-20 (MP44),2032,873.692969124802
1,130,tun44,PR-20 (MP44),2033,1004.74691093661
1,130,tun44,PR-20 (MP44),2034,1155.45894176446
1,130,tun44,PR-20 (MP44),2035,1328.77778397819
1,130,tun44,PR-20 (MP44),2036,1528.09445270057
1,130,tun44,PR-20 (MP44),2037,1757.30861163195
1,130,tun44,PR-20 (MP44),2038,2020.90493534775
1,130,tun44,PR-20 (MP44),2039,2250.92854249947
1,130,tun44,PR-20 (MP44),2040,2097.39185265532
1,130,tun44,PR-20 (MP44),2041,1827.17902974215
1,130,tun44,PR-20 (MP44),2042,1777.3290997029
1,130,tun44,PR-20 (MP44),2043,1698.37051744247
1,130,tun44,PR-20 (MP44),2044,1608.93593799692
1,130,tun44,PR-20 (MP44),2045,1287.14875039527
1,130,tun44,PR-20 (MP44),2046,1029.71900031483
1,130,tun44,PR-20 (MP44),2047,521.370635994748
1,130,tun44,PR-20 (MP44),2048,1.00401377554888e-05
1,130,tun44,PR-20 (MP44),2049,1.00971566489866e-05
1,130,tun44,PR-20 (MP44),2050,1.00921224135514e-05
4,308,tun44,PR-20 (MP44),2026,1107.99999999925
4,308,tun44,PR-20 (MP44),2027,886.399995444982
4,308,tun44,PR-20 (MP44),2028,1019.35999533403
4,308,tun44,PR-20 (MP44),2029,1172.26399999999
4,308,tun44,PR-20 (MP44),2030,1348.10359999995
4,308,tun44,PR-20 (MP44),2031,1550.31913845275
4,308,tun44,PR-20 (MP44),2032,1575.80771727303
4,308,tun44,PR-20 (MP44),2033,1546.85320846077
4,308,tun44,PR-20 (MP44),2034,1237.48256655333
4,308,tun44,PR-20 (MP44),2035,989.986053419318
4,308,tun44,PR-20 (MP44),2036,791.988842694013
4,308,tun44,PR-20 (MP44),2037,633.59107415377
4,308,tun44,PR-20 (MP44),2038,506.872859350692
4,308,tun44,PR-20 (MP44),2039,138.311121781581
4,308,tun44,PR-20 (MP44),2040,1.01246342089761e-05
4,308,tun44,PR-20 (MP44),2041,1.00889809431898e-05
4,308,tun44,PR-20 (MP44),2042,1.00976459142499e-05
4,308,tun44,PR-20 (MP44),2043,1.0085086811772e-05
4,308,tun44,PR-20 (MP44),2044,1.01262924093566e-05
4,308,tun44,PR-20 (MP44),2045,1.00914051043752e-05
4,308,tun44,PR-20 (MP44),2046,1.01003229189551e-05
4,308,tun44,PR-20 (MP44),2047,1.01218499310376e-05
4,308,tun44,PR-20 (MP44),2048,1.01257299815863e-05
4,308,tun44,PR-20 (MP44),2049,1.01169755544585e-05
4,308,tun44,PR-20 (MP44),2050,1.01000815556884e-05
2,100,tun45,HSsym (MP45),2026,1192.39215579299
2,100,tun45,HSsym (MP45),2027,1146.57466716541
2,100,tun45,HSsym (MP45),2028,974.588460379473
2,100,tun45,HSsym (MP45),2029,1120.77672930932
2,100,tun45,HSsym (MP45),2030,1288.89324781015
2,100,tun45,HSsym (MP45),2031,1321.44647769081
2,100,tun45,HSsym (MP45),2032,1123.22950492928
2,100,tun45,HSsym (MP45),2033,954.745080119378
2,100,tun45,HSsym (MP45),2034,979.488176443905
2,100,tun45,HSsym (MP45),2035,854.868988348215
2,100,tun45,HSsym (MP45),2036,726.638641746239
2,100,tun45,HSsym (MP45),2037,617.642845350281
2,100,tun45,HSsym (MP45),2038,524.996418661706
2,100,tun45,HSsym (MP45),2039,446.246955762873
2,100,tun45,HSsym (MP45),2040,414.47000774737
2,100,tun45,HSsym (MP45),2041,476.640508909464
2,100,tun45,HSsym (MP45),2042,548.136585238374
2,100,tun45,HSsym (MP45),2043,630.357072962205
2,100,tun45,HSsym (MP45),2044,724.910632776479
2,100,tun45,HSsym (MP45),2045,833.647226369303
2,100,tun45,HSsym (MP45),2046,958.694307771141
2,100,tun45,HSsym (MP45),2047,1102.4984484786
2,100,tun45,HSsym (MP45),2048,1267.87320998897
