mp,statistic,metric,value,display_value,direction,relative_badness,relative_preference,metric_min,metric_max,years,summary
HS-30 (MP47),SB0red,P(Kobe red),0.285,28.5%,lower is better,0.76051779935275,0.23948220064725,0.238,0.2998,2041-2050,Median across iteration-specific 2041-2050 means
PR-30 (MP48),SB0red,P(Kobe red),0.238,23.8%,lower is better,0,1,0.238,0.2998,2041-2050,Median across iteration-specific 2041-2050 means
HS+20 (MP29),PC270,P(catch < 270 kt),0,0.0%,lower is better,0,1,0,0,2041-2050,Median across iteration-specific 2041-2050 means
HS-20 (MP43),PC270,P(catch < 270 kt),0,0.0%,lower is better,0,1,0,0,2041-2050,Median across iteration-specific 2041-2050 means
HSsym (MP45),PC270,P(catch < 270 kt),0,0.0%,lower is better,0,1,0,0,2041-2050,Median across iteration-specific 2041-2050 means
HS-30 (MP47),PC270,P(catch < 270 kt),0,0.0%,lower is better,0,1,0,0,2041-2050,Median across iteration-specific 2041-2050 means
PR+20 (MP32),PC270,P(catch < 270 kt),0,0.0%,lower is better,0,1,0,0,2041-2050,Median across iteration-specific 2041-2050 means
PR-20 (MP44),PC270,P(catch < 270 kt),0,0.0%,lower is better,0,1,0,0,2041-2050,Median across iteration-specific 2041-2050 means
PRsym (MP46),PC270,P(catch < 270 kt),0,0.0%,lower is better,0,1,0,0,2041-2050,Median across iteration-specific 2041-2050 means
PR-30 (MP48),PC270,P(catch < 270 kt),0,0.0%,lower is better,0,1,0,0,2041-2050,Median across iteration-specific 2041-2050 means
HS+20 (MP29),Creduction,Mean catch reduction,2.25699315259484,2.3,lower is better,0.056758555623682,0.943241444376318,2.09767507138905,4.90461896654535,2041-2050,Median across iteration-specific 2041-2050 means
PR+20 (MP32),Creduction,Mean catch reduction,4.69480480408109,4.7,lower is better,0.925251743425896,0.0747482565741043,2.09767507138905,4.90461896654535,2041-2050,Median across iteration-specific 2041-2050 means
HS-20 (MP43),Creduction,Mean catch reduction,2.21435130338251,2.2,lower is better,0.0415669982555754,0.958433001744425,2.09767507138905,4.90461896654535,2041-2050,Median across iteration-specific 2041-2050 means
PR-20 (MP44),Creduction,Mean catch reduction,4.68069679547602,4.7,lower is better,0.920225633488528,0.0797743665114716,2.09767507138905,4.90461896654535,2041-2050,Median across iteration-specific 2041-2050 means
HSsym (MP45),Creduction,Mean catch reduction,2.09767507138905,2.1,lower is better,0,1,2.09767507138905,4.90461896654535,2041-2050,Median across iteration-specific 2041-2050 means
PRsym (MP46),Creduction,Mean catch reduction,4.46960823403602,4.5,lower is better,0.845023360367127,0.154976639632873,2.09767507138905,4.90461896654535,2041-2050,Median across iteration-specific 2041-2050 means
HS-30 (MP47),Creduction,Mean catch reduction,2.33450309713878,2.3,lower is better,0.0843721978762741,0.915627802123726,2.09767507138905,4.90461896654535,2041-2050,Median across iteration-specific 2041-2050 means
PR-30 (MP48),Creduction,Mean catch reduction,4.90461896654535,4.9,lower is better,1,0,2.09767507138905,4.90461896654535,2041-2050,Median across iteration-specific 2041-2050 means
