"weight_scheme","mp","metric","raw_value","preferred_direction","normalized_score","include","scheme_weight","weighted_contribution","years","summary"
"Equal weights","PR+20 (MP32)","SB / SB[MSY]",1.62176227878146,"higher is better",23.0583,TRUE,0.166666666666667,3.843,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR+20 (MP32)","F / F[MSY]",0.912823942265466,"lower is better",94.8447,TRUE,0.166666666666667,15.8075,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR+20 (MP32)","Catch",1808.80604542823,"higher is better",36.9022,TRUE,0.166666666666667,6.1504,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR+20 (MP32)","IACC",8.64974844799853,"lower is better",13.877,TRUE,0.166666666666667,2.3128,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR+20 (MP32)","VB / VB[2025]",5.58769533762122,"higher is better",50.2995,TRUE,0.166666666666667,8.3832,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR+20 (MP32)","VB / VB[MSY]",0.861588459150348,"higher is better",73.0922,TRUE,0.166666666666667,12.182,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-30 (MP47)","SB / SB[MSY]",1.67156721898658,"higher is better",99.1478,TRUE,0.166666666666667,16.5246,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-30 (MP47)","F / F[MSY]",0.915706684626176,"lower is better",69.0944,TRUE,0.166666666666667,11.5157,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-30 (MP47)","Catch",1787.8295150926,"higher is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-30 (MP47)","IACC",5.28535275867754,"lower is better",99.8917,TRUE,0.166666666666667,16.6486,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-30 (MP47)","VB / VB[2025]",5.47585596821757,"higher is better",18.146,TRUE,0.166666666666667,3.0243,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-30 (MP47)","VB / VB[MSY]",0.846612876973477,"higher is better",5.3857,TRUE,0.166666666666667,0.8976,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-20 (MP43)","SB / SB[MSY]",1.67171060123642,"higher is better",99.3668,TRUE,0.166666666666667,16.5611,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-20 (MP43)","F / F[MSY]",0.915725994065092,"lower is better",68.9219,TRUE,0.166666666666667,11.487,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-20 (MP43)","Catch",1787.86381796553,"higher is better",0.0603,TRUE,0.166666666666667,0.0101,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-20 (MP43)","IACC",5.28607621894683,"lower is better",99.8732,TRUE,0.166666666666667,16.6455,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-20 (MP43)","VB / VB[2025]",5.47598259299558,"higher is better",18.1824,TRUE,0.166666666666667,3.0304,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS-20 (MP43)","VB / VB[MSY]",0.846172982184671,"higher is better",3.3969,TRUE,0.166666666666667,0.5661,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS+20 (MP29)","SB / SB[MSY]",1.67212504791497,"higher is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS+20 (MP29)","F / F[MSY]",0.915782050052947,"lower is better",68.4212,TRUE,0.166666666666667,11.4035,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS+20 (MP29)","Catch",1787.95493740424,"higher is better",0.2206,TRUE,0.166666666666667,0.0368,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS+20 (MP29)","IACC",5.28111725383502,"lower is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS+20 (MP29)","VB / VB[2025]",5.47634802554117,"higher is better",18.2875,TRUE,0.166666666666667,3.0479,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HS+20 (MP29)","VB / VB[MSY]",0.845421650277325,"higher is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HSsym (MP45)","SB / SB[MSY]",1.67212504791497,"higher is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HSsym (MP45)","F / F[MSY]",0.915782050052947,"lower is better",68.4212,TRUE,0.166666666666667,11.4035,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HSsym (MP45)","Catch",1787.95493740424,"higher is better",0.2206,TRUE,0.166666666666667,0.0368,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HSsym (MP45)","IACC",5.28111725383502,"lower is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HSsym (MP45)","VB / VB[2025]",5.47634802554117,"higher is better",18.2875,TRUE,0.166666666666667,3.0479,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","HSsym (MP45)","VB / VB[MSY]",0.845421650277325,"higher is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-30 (MP48)","SB / SB[MSY]",1.60666931172174,"higher is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-30 (MP48)","F / F[MSY]",0.912246809678366,"lower is better",100,TRUE,0.166666666666667,16.6667,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-30 (MP48)","Catch",1806.50471140504,"higher is better",32.8536,TRUE,0.166666666666667,5.4756,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-30 (MP48)","IACC",9.19253683228309,"lower is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-30 (MP48)","VB / VB[2025]",5.41273860528675,"higher is better",0,TRUE,0.166666666666667,0,"2041-2050","Median across iteration-specific 2041-2050 means"
"Equal weights","PR-30 (MP48)","VB / VB[MSY]",0.853513998716843,"higher is better",36.5865,TRUE,0.166666666666667,6.0978,"2041-2050","Median across iteration-specific 2041-2050 means"
