mp_code,mp,short_label,family,display,om,biol,catch_mean,catch_q10,catch_q90,sb_mean,sb_q10,sb_q90,iacc_mean,iacc_q10,iacc_q90,n_replicates,om_panel
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h1_1.14,CJM,1085.96554448732,1019.56877108344,1146.84015129647,2.0734553560521,1.31965580833772,2.89852011746348,5.11290358911286,2.60612597868143,7.64056873088706,100,Model 1.14 (om13)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h1_1.14,CJM,1032.24956031369,953.177825284839,1104.78544238064,2.07271453036774,1.31898723479583,2.89929951235051,5.08165206168114,2.54840734450293,7.71584827314033,100,Model 1.14 (om13)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h1_1.14,CJM,1257.94608508403,1101.5275171956,1405.13504909369,1.85097745483501,1.12089092155978,2.64310910236563,6.63667014171862,2.08605944342684,13.5187733782784,100,Model 1.14 (om13)
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h1_1.14,CJM,907.997993238348,845.258157321408,984.867890900023,2.10485573200612,1.342150203482,2.90335694710861,7.922893030909,2.39057494158193,14.5021155659163,100,Model 1.14 (om13)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h1_1.14,CJM,987.347038527629,919.876193789749,1050.66715668169,2.09787547168801,1.34974020446993,2.88274591383437,7.50186815703511,2.63650943879159,13.3374362092696,100,Model 1.14 (om13)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h1_1.14,CJM,836.399806064608,749.923160298168,938.093817177592,2.07881375978753,1.32229994120977,2.87455226057329,7.8531822496872,2.30006298154812,15.5932117830071,100,Model 1.14 (om13)
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h2_0.16,North,241.452771712858,214.594935002672,269.410102435825,0.585103566197191,0.00350188325160521,1.23253936227403,14.7627364539117,6.91459294462747,29.4002797967673,100,Two stock (om21)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h2_0.16,North,192.358654807522,175.107231717182,211.19040720699,0.929814567787688,0.258954741740637,1.4969244701909,13.0640877874874,7.18056000142714,17.379986635839,100,Two stock (om21)
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h2_0.16,North,199.823810899528,182.895190474937,218.750343733984,0.917556534736196,0.251112169470826,1.49087089129963,13.4269551646455,7.29548096381051,17.5337415951415,100,Two stock (om21)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h2_0.16,North,187.73261099503,168.768350857984,206.836958172415,0.906029378976777,0.250039539269802,1.48076684837418,13.4161619696005,7.13741702646295,17.4648722402693,100,Two stock (om21)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h2_0.16,North,217.349913068907,188.91204086859,252.953253646594,0.615316271780381,0.017143684650738,1.19863357659824,14.6706150975735,6.63927500869011,32.3858996212901,100,Two stock (om21)
